case_id,paper_id,material_type,condition_original,target_formula_or_system,phase_or_prototype,space_group_symbol,space_group_number,pressure_GPa,temperature_K,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,atomic_positions_status,soc_or_relativistic,strain_or_doping,source_kind,evidence_location,evidence_snippet,confidence,mismatch_flags,recommended_next_step
lam011,813254743873814530,2d-layered,TiB4 monolayer (freestanding),TiB4,"freestanding TiB4 monolayer TBML, planar Ti@B8 wheel network",P4/mmm,123,0,0,4.106,4.106,vacuum 20 A,90,90,90,partial: monolayer symmetry and bonds reported; full fractional coordinates absent from LKM markdown,not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/813254743873814530.md:36-38,50,104,170-190; L3-dfpt-lambda/build_status.csv:lam011",The source reports planar TiB4 monolayer with P4/mmm symmetry and a=b=4.106 A.,high,repo_current_structure_space_group_mismatch:Immm_vs_P4/mmm;atomic_positions_manual_required,Replace current TiB4 OpenLAM Immm candidate with a P4/mmm monolayer source build.
lam012,817359063850418177,2d-layered,hexagonal CaB6,CaB6,hexagonal 2D CaB6 monolayer,P6/mmm,191,0,0,3.43,3.43,not tabulated; 2D slab vacuum required,90,90,120,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535; L3-dfpt-lambda/build_status.csv:lam012-lam015",The source classifies hexagonal MB6 monolayers as P6/mmm and Table I reports the hexagonal lattice constants for Mg/Ca/Sc/Ti variants.,high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.
lam013,817359063850418177,2d-layered,hexagonal MgB6,MgB6,hexagonal 2D MgB6 monolayer,P6/mmm,191,0,0,3.41,3.41,not tabulated; 2D slab vacuum required,90,90,120,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535; L3-dfpt-lambda/build_status.csv:lam012-lam015",The source classifies hexagonal MB6 monolayers as P6/mmm and Table I reports the hexagonal lattice constants for Mg/Ca/Sc/Ti variants.,high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.
lam014,817359063850418177,2d-layered,hexagonal ScB6,ScB6,hexagonal 2D ScB6 monolayer,P6/mmm,191,0,0,3.41,3.41,not tabulated; 2D slab vacuum required,90,90,120,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535; L3-dfpt-lambda/build_status.csv:lam012-lam015",The source classifies hexagonal MB6 monolayers as P6/mmm and Table I reports the hexagonal lattice constants for Mg/Ca/Sc/Ti variants.,high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.
lam015,817359063850418177,2d-layered,hexagonal TiB6,TiB6,hexagonal 2D TiB6 monolayer,P6/mmm,191,0,0,3.41,3.41,not tabulated; 2D slab vacuum required,90,90,120,"partial: Table I gives lattice and thickness d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535; L3-dfpt-lambda/build_status.csv:lam012-lam015",The source classifies hexagonal MB6 monolayers as P6/mmm and Table I reports the hexagonal lattice constants for Mg/Ca/Sc/Ti variants.,high,repo_current_structure_space_group_mismatch:Pm-3m_cubic_vs_P6/mmm_2D;atomic_positions_manual_required,Discard cubic OpenLAM MB6 cells; use the 2D hexagonal P6/mmm target and source/supplement coordinates.
lam016,817359063850418177,2d-layered,type-I orthorhombic CaB6,CaB6,type-I orthorhombic 2D monolayer,Pmmm,47,0,0,3.49,2.94,thickness d=4.24 A; slab vacuum not tabulated,90,90,90,"partial: Table I gives a,b,d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535","The MB6 paper reports orthorhombic Pmmm type-I/type-II/type-III structures with the listed a,b,d values and corresponding EPC results.",high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.
lam017,817359063850418177,2d-layered,type-I orthorhombic MgB6,MgB6,type-I orthorhombic 2D monolayer,Pmmm,47,0,0,3.46,2.90,thickness d=3.55 A; slab vacuum not tabulated,90,90,90,"partial: Table I gives a,b,d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535","The MB6 paper reports orthorhombic Pmmm type-I/type-II/type-III structures with the listed a,b,d values and corresponding EPC results.",high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.
lam018,817359063850418177,2d-layered,type-II orthorhombic (2x1) TiB6,TiB6,type-II orthorhombic 2x1 2D monolayer,Pmmm,47,0,0,6.76,2.95,thickness d=3.73 A; slab vacuum not tabulated,90,90,90,"partial: Table I gives a,b,d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535","The MB6 paper reports orthorhombic Pmmm type-I/type-II/type-III structures with the listed a,b,d values and corresponding EPC results.",high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.
lam019,817359063850418177,2d-layered,type-III orthorhombic (2x1) YB6,YB6,type-III orthorhombic 2x1 2D monolayer,Pmmm,47,0,0,6.88,2.97,thickness d=4.22 A; slab vacuum not tabulated,90,90,90,"partial: Table I gives a,b,d; full fractional coordinates are in supplement, not in LKM markdown",not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/817359063850418177.md:84-204,520-535","The MB6 paper reports orthorhombic Pmmm type-I/type-II/type-III structures with the listed a,b,d values and corresponding EPC results.",high,atomic_positions_manual_required,Use the orthorhombic Pmmm target and retrieve supplement coordinates before building SCF input.
lam020,867750509996409561,2d-layered,"CeH10 (Fm-3m) 94 GPa, mu*=0.10",CeH10,condition-derived cubic hydride; not supported by assigned borophene paper,Fm-3m,225,94,,,,,90,90,,missing: assigned LKM paper is borophene/AlB2 and provides no Ce-H structure,not reported,high pressure 94 GPa; mu*=0.10 in condition,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"data/lambda_reference.csv:lam020; lkm_content/867750509996409561.md:1,30","Reference condition is CeH10 at 94 GPa, but the assigned paper is about honeycomb borophene on Al(111)/AlB2 rather than Ce hydrides.",low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Find the correct CeH10 high-pressure hydride source/paper_id before any benchmark structure is built.
lam021,867750509996409561,2d-layered,"CeH9 (F-43m) 94 GPa, mu*=0.10",CeH9,condition-derived cubic hydride; not supported by assigned borophene paper,F-43m,216,94,,,,,90,90,,missing: assigned LKM paper is borophene/AlB2 and provides no Ce-H structure,not reported,high pressure 94 GPa; mu*=0.10 in condition,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"data/lambda_reference.csv:lam021; lkm_content/867750509996409561.md:1,30","Reference condition is CeH9 at 94 GPa, while the assigned paper is a borophene/AlB2 EPC paper.",low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Reassign to the correct CeH9 high-pressure hydride paper; do not use this 2D borophene paper.
lam022,867754756150395675,2d-layered,"HPC3, 1% biaxial strain",HPC3 / H1P2C6,wrinkled 2D hydrogenated phosphorus carbide monolayer,,,0,0,5.46208,5.46208,vacuum about 20 A; H-H vertical height 3.874 A in unstrained cell,90,90,120,"partial: lattice, composition, and bond/height descriptors reported; full fractional coordinates absent from LKM markdown",not reported,1% biaxial tensile strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867754756150395675.md:50-55,82-84","The HPC3 paper reports a 10-atom unit cell, a=5.408 A unstrained, vacuum about 20 A, and EPC values for 0-3% biaxial strain.",high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.
lam023,867754756150395675,2d-layered,"HPC3, 2% biaxial strain",HPC3 / H1P2C6,wrinkled 2D hydrogenated phosphorus carbide monolayer,,,0,0,5.51616,5.51616,vacuum about 20 A; H-H vertical height 3.874 A in unstrained cell,90,90,120,"partial: lattice, composition, and bond/height descriptors reported; full fractional coordinates absent from LKM markdown",not reported,2% biaxial tensile strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867754756150395675.md:50-55,82-84","The HPC3 paper reports a 10-atom unit cell, a=5.408 A unstrained, vacuum about 20 A, and EPC values for 0-3% biaxial strain.",high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.
lam024,867754756150395675,2d-layered,"HPC3, 3% biaxial strain (f1f2 corrected)",HPC3 / H1P2C6,wrinkled 2D hydrogenated phosphorus carbide monolayer,,,0,0,5.57024,5.57024,vacuum about 20 A; H-H vertical height 3.874 A in unstrained cell,90,90,120,"partial: lattice, composition, and bond/height descriptors reported; full fractional coordinates absent from LKM markdown",not reported,3% biaxial tensile strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867754756150395675.md:50-55,82-84","The HPC3 paper reports a 10-atom unit cell, a=5.408 A unstrained, vacuum about 20 A, and EPC values for 0-3% biaxial strain.",high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.
lam025,867754756150395675,2d-layered,"HPC3, unstrained",HPC3 / H1P2C6,wrinkled 2D hydrogenated phosphorus carbide monolayer,,,0,0,5.408,5.408,vacuum about 20 A; H-H vertical height 3.874 A in unstrained cell,90,90,120,"partial: lattice, composition, and bond/height descriptors reported; full fractional coordinates absent from LKM markdown",not reported,unstrained,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867754756150395675.md:50-55,82-84","The HPC3 paper reports a 10-atom unit cell, a=5.408 A unstrained, vacuum about 20 A, and EPC values for 0-3% biaxial strain.",high,atomic_positions_manual_required,Apply the requested biaxial strain to the reported hexagonal cell and recover fractional coordinates from supplement/figure.
lam026,867757693798973751,2d-layered,I-4m2 SnH8 250 GPa (mu*=0.10),SnH8,condition-derived I-4m2 hydride; not supported by assigned MoS2 paper,I-4m2,119,250,,,,,90,90,,missing: assigned LKM paper is high-pressure MoS2 and provides no Sn-H structure,not reported,high pressure 250 GPa; mu*=0.10 in condition,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"data/lambda_reference.csv:lam026; lkm_content/867757693798973751.md:2,22,42,67","Reference condition is I-4m2 SnH8 at 250 GPa, but the assigned paper discusses structural changes and metallization in high-pressure MoS2.",low,condition_material_mismatch;same_paper_condition_suspect_wrong_family;LKM_has_lambda_no_structure;material_type_should_be_hydride_or_paper_id_wrong,Find the correct SnH8 high-pressure hydride paper/source and move this case out of 2d-layered if needed.
lam027,867761305644171944,2d-layered,CaSn6 (Ca-decorated stanene),CaSn6,Ca-decorated stanene; one adatom per Sn6 cell,,,0,0,4.64,4.64,adatom height 2.24 A above stanene plane; slab vacuum not tabulated,90,90,120,"partial: stanene lattice, buckling, Sn-Sn bond, and adatom height reported; full fractional coordinates absent",SOC not included in reported superconductivity calculations; paper notes SOC opens a free-stanene gap,chemical decoration/doping of stanene; fixed stanene lattice a=4.64 A,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867761305644171944.md:70-76,134-192","The stanene paper fixes a=4.64 A and reports Li/Ca adatom heights above stanene, with no imaginary phonons for the decorated structures.",high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build decorated stanene directly; treat current formula-matched OpenLAM cells as candidates only.
lam028,867761305644171944,2d-layered,LiSn6 (Li-decorated stanene),LiSn6,Li-decorated stanene; one adatom per Sn6 cell,,,0,0,4.64,4.64,adatom height 1.75 A above stanene plane; slab vacuum not tabulated,90,90,120,"partial: stanene lattice, buckling, Sn-Sn bond, and adatom height reported; full fractional coordinates absent",SOC not included in reported superconductivity calculations; paper notes SOC opens a free-stanene gap,chemical decoration/doping of stanene; fixed stanene lattice a=4.64 A,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867761305644171944.md:70-76,134-192","The stanene paper fixes a=4.64 A and reports Li/Ca adatom heights above stanene, with no imaginary phonons for the decorated structures.",high,repo_current_structure_not_source_verified;atomic_positions_manual_required,Build decorated stanene directly; treat current formula-matched OpenLAM cells as candidates only.
lam029,867761622720971643,2d-layered,(single),Mg2B4C2,"monolayer Mg2B4C2, MgB2-derived, inversion-symmetric p-3m1 layer group",p-3m1 (layer group),72 (layer group),0,0,2.87,2.87,vacuum about 30 A; monolayer thickness 7.14 A,90,90,120,"partial: lattice, thickness, and interlayer distances reported; full fractional coordinates absent from LKM markdown",SOC negligible and not included,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867761622720971643.md:40-42,124","The source reports monolayer Mg2B4C2 with layer group p-3m1, a=b=2.87 A, thickness 7.14 A, and negligible SOC.",high,atomic_positions_manual_required,Use the reported layer group/lattice and recover fractional coordinates from supplement or reconstruct from the reported geometry.
lam030,867772526099431971,2d-layered,Mo2C bare 2H MXene,Mo2C,bare 2H Mo2C MXene monolayer,,,0,0,2.82,2.82,interlayer vacuum at least 10 A,90,90,120,partial: phase and lattice reported; full fractional coordinates absent from LKM markdown,not reported,none,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867772526099431971.md:25-60,167,177,278-302","The MXene paper compares alpha, 1T, and 2H Mo2C; the bare 2H phase has a=2.82 A and is used for the reported EPC convergence table.",high,atomic_positions_manual_required,Use 2H Mo2C lattice and recover 2H coordinates from source/supplement rather than formula candidates.
lam031,867772526099431971,2d-layered,"Mo2C(OH)2 (OH-terminated 2H, unstable)",Mo2C(OH)2,"2H Mo2C MXene, OH-terminated model III; dynamically unstable in source",,,0,0,2.89,2.89,interlayer vacuum at least 10 A,90,90,120,partial: most stable OH model and lattice reported; full coordinates absent; source says structure is unstable,not reported,OH termination; no intended strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867772526099431971.md:78-140,165-167,356-380; L3-dfpt-lambda/build_status.csv:lam031","For OH termination, model III is the lowest-energy 2H arrangement with a=2.89 A, but the source reports large imaginary modes for Mo2C(OH)2.",medium,target_structurally_unstable;repo_current_structure_space_group_mismatch:Pnnm_formula_candidate_vs_2H_OH_MXene;atomic_positions_manual_required,Keep as an unstable-reference case only; do not replace it with bare Mo2C or a Pnnm formula candidate.
lam032,867772526099431971,2d-layered,"Mo2CH2 (H-terminated 2H, 1% strain)",Mo2CH2,"2H Mo2C MXene, H-terminated model I with 1% strain",,,0,0,2.909,2.909,interlayer vacuum at least 10 A,90,90,120,partial: H hollow-site model and lattice reported; full fractional coordinates absent,not reported,H termination; 1% strain applied to remove small imaginary modes,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867772526099431971.md:78-140,157,165,330-354","The source identifies H-terminated 2H model I as lowest energy with a=2.88 A, and applies about 1% strain for the superconductivity calculation.",high,atomic_positions_manual_required,Build 2H H-terminated model I and apply 1% strain; recover H positions from supplement/figure.
lam033,867772526099431971,2d-layered,Mo2CO2 (O-terminated 2H),Mo2CO2,"2H Mo2C MXene, O-terminated model II",,,0,0,2.85,2.85,interlayer vacuum at least 10 A,90,90,120,partial: O top-C model and lattice reported; full fractional coordinates absent,not reported,O termination; no intended strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867772526099431971.md:70-140,306-328","For O termination, 2H model II is lowest energy with a=2.85 A and has its own EPC convergence table.",high,atomic_positions_manual_required,Build 2H O-terminated model II and recover O/Mo/C fractional positions from source/supplement.
lam034,867772526099431971,2d-layered,Ti2C monolayer,Ti2C,Ti2C monolayer MXene preliminary EPC case,,,0,0,,,,90,90,,"missing in source: EPC convergence table exists, but structural model is not specified beyond preliminary Ti2C mention",not reported,none reported,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867772526099431971.md:171,382-406; L3-dfpt-lambda/build_status.csv:lam034",The source only notes preliminary Ti2C/Ti2CH2 results and provides an EPC convergence table; no lattice or coordinate target is given in the markdown.,medium,LKM_has_lambda_no_structure;repo_current_structure_not_source_verified:OpenLAM_P-1_candidate;manual_required,Locate the Ti2C structural source or supplementary coordinates; treat current Ti2C.scf.in as a candidate only.
lam035,867773664412566427,2d-layered,"B2C monolayer, mu*=0.10",B2C,metastable rectangular B2C single-layer target from source,,,0,0,2.552,3.392,vacuum about 20 A,90,90,90,"partial: lattice, bonds, and corrugation reported; full fractional coordinates absent from LKM markdown",not reported,"none; metastable target, not the lower-energy alternate B2C phase",repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/867773664412566427.md:30-34,52; L3-dfpt-lambda/build_status.csv:lam035","The source target is a rectangular B2C monolayer with a=2.552 A, b=3.392 A and slight corrugation; it is metastable but dynamically stable.",high,repo_current_structure_space_group_mismatch:P-3m1_formula_candidate_vs_rectangular_target;atomic_positions_manual_required,Build the rectangular source structure; do not use the hexagonal-looking OpenLAM B2C candidate as ground truth.
lam036,938859326162862687,2d-layered,"C2CaC2 AA-stacking, -2% biaxial strain",C2CaC2,"Ca-intercalated AA-stacking bilayer graphene, five-atom primitive cell",P6/mmm,191,0,0,2.553,2.553,vacuum 15 A; graphene interlayer distance 5.096 A in relaxed unstrained cell,90,90,120,"partial: AA stacking, hollow-site Ca, five-atom cell, and distances reported; fractional coordinates absent from LKM markdown",not reported,-2% biaxial compressive strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/938859326162862687.md:36,88-98,133,148-151,184","The C2CaC2 source reports AA stacking, P6/mmm No.191, a=2.605 A, 15 A vacuum, and EPC values for unstrained and compressed cells.",high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.
lam037,938859326162862687,2d-layered,"C2CaC2 AA-stacking, -4% biaxial strain",C2CaC2,"Ca-intercalated AA-stacking bilayer graphene, five-atom primitive cell",P6/mmm,191,0,0,2.501,2.501,vacuum 15 A; graphene interlayer distance 5.096 A in relaxed unstrained cell,90,90,120,"partial: AA stacking, hollow-site Ca, five-atom cell, and distances reported; fractional coordinates absent from LKM markdown",not reported,-4% biaxial compressive strain,repo_reference+structure_hints+build_status+LKM_graph+LKM_content,"lkm_content/938859326162862687.md:36,88-98,133,148-151,184","The C2CaC2 source reports AA stacking, P6/mmm No.191, a=2.605 A, 15 A vacuum, and EPC values for unstrained and compressed cells.",high,atomic_positions_manual_required,Use the P6/mmm AA cell and apply the listed biaxial strain; recover exact fractional coordinates from supplement/figure if needed.
