case_id,formula,material_type,condition,pressure_GPa,space_group,prototype,a,b,c,structure_completeness,target_confidence,mismatch_flags,recommended_next_step,lambda_ref
lam066,Bi4I4,heavy-soc,"epsilon-Bi4I4 (P31c), 15 GPa",15,P31c,epsilon-Bi4I4 ([Bi4I3] chains + isolated I),,,,proto-only,medium,structure_table_pressure_10GPa_differs_from_condition_15GPa;repo_no_current_structure,manual_required: relax or obtain epsilon Bi4I4 at 15 GPa before DFPT target run,0.67
lam067,Bi4I4,heavy-soc,"zeta-Bi4I4 (P4/mmm), 18 GPa",18,P4/mmm,"zeta-Bi4I4 (quasi-3D, alternating X/Y units)",,,,proto-only,medium,structure_table_pressure_30GPa_differs_from_condition_18GPa;repo_no_current_structure,manual_required: relax or obtain zeta Bi4I4 at 18 GPa before DFPT target run,0.72
lam068,OsN2 / Os0.75Re0.25N2 virtual hole-doped target,heavy-soc,OsN2 0.5 holes/cell doped (Os0.75Re0.25N2),0.0,Pnnm (58),marcasite-like hole-doped dinitride,,,,prototype/Wyckoff only in markdown: Os 2a and N 4g; no lattice constants or fractional N coordinate found in LKM markdown,low,LKM_has_lambda_but_no_structure;repo_current_structure_space_group_mismatch;doping_not_encoded_in_repo_structure,manual_required: obtain Ref.16 Pnnm structure and define doping model/supercell or virtual-charge treatment,0.49
lam069,LaO0.5F0.5BiS2,heavy-soc,(single),0,"tetragonal layered BiS2 (P4/nmm-type, not explicitly named in node)",layered BiS2 (CeOBiS2-type / ZrCuSiAs-related),,,,proto-only,high,repo_no_current_structure,build ordered P4/nmm LaO0.5F0.5BiS2 target; keep doping/order explicit,0.85
lam076,TlTaSe2,heavy-soc,(single),,P-6m2,non-centrosymmetric hexagonal layered TlTaSe2 (no named prototype),,,,proto-only,low,LKM_has_lambda_but_no_structure;repo_no_current_structure,manual_required: obtain crystallographic structure from paper/supporting data or validated database candidate; do not infer ground truth from lowest-energy candidate,0.97
lam077,Ba2RhH6,hydride,Ba2RhH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.62
lam078,Ca2CoH6,hydride,Ca2CoH6 at 20 GPa,20.0,Fm-3m (225),K2PtCl6-type / cubic antifluorite X2MH6; fcc MH6 octahedra; X at cation sites,,,,"proto-only: Fm-3m motif; repo hint gives M(0,0,0), X(1/4,1/4,1/4), H about (0.24,0,0); exact lattice not in LKM markdown",medium,repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.39
lam079,Ca2IrH6,hydride,Ca2IrH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.68
lam080,Ca2RhH6,hydride,Ca2RhH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.51
lam081,Mg2CoH6,hydride,Mg2CoH6 at 20 GPa,20.0,Fm-3m (225),K2PtCl6-type / cubic antifluorite X2MH6; fcc MH6 octahedra; X at cation sites,,,,"proto-only: Fm-3m motif; repo hint gives M(0,0,0), X(1/4,1/4,1/4), H about (0.24,0,0); exact lattice not in LKM markdown",medium,repo_current_structure_sg_mismatch:P-1->target Fm-3m|repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.34
lam082,Mg2IrH6,hydride,Mg2IrH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,3.04
lam083,Mg2RhH6,hydride,Mg2RhH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.05
lam084,Sr2CoH6,hydride,Sr2CoH6 at 20 GPa,20.0,Fm-3m (225),K2PtCl6-type / cubic antifluorite X2MH6; fcc MH6 octahedra; X at cation sites,,,,"proto-only: Fm-3m motif; repo hint gives M(0,0,0), X(1/4,1/4,1/4), H about (0.24,0,0); exact lattice not in LKM markdown",medium,repo_structure_is_openlam_candidate_not_ground_truth,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.27
lam085,Sr2IrH6,hydride,Sr2IrH6 at 20 GPa,20.0,Fm-3m (225),"K2PtCl6 (cubic antifluorite-type, fcc, MH6 octahedra)",,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.43
lam086,La2Pt2H13,hydride,"La2Pt2H13, 20 GPa",20.0,,"La-Pt-H ternary (metallic, dynamically stable; structure not detailed in LKM)",,,,none,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.615
lam087,LaPt2H7,hydride,"LaPt2H7, 20 GPa",20.0,,"La-Pt-H ternary (metallic, dynamically stable; structure not detailed in LKM)",,,,none,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.788
lam088,LaPt3H9,hydride,"LaPt3H9, 20 GPa",20.0,,"La-Pt-H ternary (metallic, dynamically stable; structure not detailed in LKM)",,,,none,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.816
lam089,LaPtH5,hydride,"LaPtH5, 20 GPa",20.0,,"La-Pt-H ternary (metallic, dynamically stable; structure not detailed in LKM)",,,,none,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.494
lam090,LaPtH6,hydride,"LaPtH6, 0 GPa",0.0,R-3m (166),trigonal LaPtH6; PtH6 octahedra + La layers; equilateral H3 units (kagome-like H layer),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.789
lam091,LaPtH6,hydride,"LaPtH6, 20 GPa",20.0,R-3m (166),trigonal LaPtH6; PtH6 octahedra + La layers; equilateral H3 units (kagome-like H layer),,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,0.701
lam092,H,hydride,"I4_1/amd H, 480 GPa, mu*=0.10",480.0,I4_1/amd (141),Cs-IV (beta-Sn / I4_1/amd-type) monatomic metallic hydrogen,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.17
lam093,H,hydride,"I4_1/amd H, 539 GPa, mu*=0.10",539.0,I4_1/amd (141),Cs-IV (beta-Sn / I4_1/amd-type) monatomic metallic hydrogen,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,2.01
lam094,H,hydride,"I4_1/amd H, 608 GPa, mu*=0.10",608.0,I4_1/amd (141),Cs-IV (beta-Sn / I4_1/amd-type) monatomic metallic hydrogen,,,,proto-only,medium,repo_structure_absent,Use the cited target phase; obtain missing CIF/relax at target pressure before benchmark run.,1.89
